Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,1449,1460.98999,1415.150024,1416.780029,1416.780029,7162700
06-02-2018,1361.459961,1443.98999,1351.790039,1442.839966,1442.839966,11066800
05-02-2018,1402.619995,1458.97998,1320.719971,1390,1390,11495000
02-02-2018,1477.390015,1498,1414,1429.949951,1429.949951,11125700
01-02-2018,1445,1459.880005,1385.140015,1390,1390,9113800
31-01-2018,1451.300049,1472.579956,1450.040039,1450.890015,1450.890015,6424700
30-01-2018,1403.170044,1439.25,1392,1437.819946,1437.819946,5871900
29-01-2018,1409.180054,1431.390015,1400.439941,1417.680054,1417.680054,5701900
26-01-2018,1392.01001,1402.530029,1380.910034,1402.050049,1402.050049,4857300
25-01-2018,1368,1378.339966,1357.619995,1377.949951,1377.949951,4753000
24-01-2018,1374.819946,1388.160034,1338,1357.51001,1357.51001,6807500
23-01-2018,1338.089966,1364.900024,1337.339966,1362.540039,1362.540039,5169300
22-01-2018,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059,4140100
19-01-2018,1312,1313,1292.98999,1294.579956,1294.579956,4578500
18-01-2018,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946,4026900
